id;id_empleado;nombre;salario;apellido
1;37454;Directives application Home Loan Account;15601;Computer Practical Fresh Pants
2;60111;alarm;2058;Producer
3;83244;red Chips Soap;30424;Albania web-readiness
4;29122;Investment Account Steel;29214;24/7 Common bluetooth
5;19967;Cambridgeshire Mississippi;4645;Credit Card Account Table Small Frozen Sausages
6;96563;cross-platform access;9767;Nakfa
7;44015;Rubber Buckinghamshire Games;90932;Digitized invoice
8;31171;Costa Rica Mayotte;18485;Facilitator
9;77513;Markets Chief;59789;National Awesome sky blue
10;4522;software scale interactive;82873;compelling mission-critical
