id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Eric;Daugherty;Frederick_OConnell72@hotmail.com;local area network Benin;2019-07-05T22:52:48;36771;63633
2;Dimitri;Friesen;Lamar.Wiza48@gmail.com;Investor users dot-com;2019-07-05T19:36:32;57690;66892
3;Jeramie;Stracke;Daren.Reichert@gmail.com;Shoes deposit;2019-07-06T06:50:26;99455;94045
4;Janet;Wilkinson;Tavares_Tillman@gmail.com;Factors;2019-07-06T03:09:12;42818;55276
5;Vita;Marquardt;Wilhelmine29@hotmail.com;reinvent;2019-07-05T14:39:51;26847;31692
6;Jazmyne;Dach;Kaylie_Huels69@yahoo.com;Arkansas Intelligent Credit Card Account;2019-07-05T11:19:49;35864;14008
7;Deonte;Larson;Serenity_Hammes69@gmail.com;Sudanese Pound;2019-07-06T02:27:49;55281;29359
8;Elenora;Schowalter;Ramiro_Gaylord91@yahoo.com;Avon;2019-07-05T23:03:18;62789;79829
9;Clemmie;O'Conner;Maybelle.Hyatt89@gmail.com;value-added incubate Practical;2019-07-05T21:12:46;67202;3594
10;Erling;Kohler;Karen83@gmail.com;TCP Assimilated;2019-07-06T10:09:33;82260;30326
